date,1. open,2. high,3. low,4. close,5. volume
2020-08-20 09:41:00,489.085,489.48,488.1201,489.1637,22784.0
2020-08-20 09:40:00,489.38,489.77,488.35,489.054,26614.0
2020-08-20 09:39:00,490.375,490.375,488.9189,489.09,24233.0
2020-08-20 09:38:00,489.73,490.55,488.9642,490.43,36045.0
2020-08-20 09:37:00,489.435,489.845,488.6654,489.745,27477.0
2020-08-20 09:36:00,487.97,489.77,487.7,489.605,39483.0
2020-08-20 09:35:00,486.22,488.23,485.68,487.825,39142.0
2020-08-20 09:34:00,486.49,486.73,485.4158,486.21,17584.0
2020-08-20 09:33:00,485.75,486.955,485.23,486.4118,30015.0
2020-08-20 09:32:00,484.945,485.6,483.89,485.3875,23186.0
2020-08-20 09:31:00,484.69,485.45,484.26,485.0,55019.0
2020-08-20 09:30:00,484.85,484.85,484.85,484.85,607.0
2020-08-20 09:26:00,484.5,484.5,484.5,484.5,485.0
2020-08-20 09:08:00,484.5,484.5,484.5,484.5,134.0
2020-08-20 09:04:00,484.0,484.0,484.0,484.0,243.0
2020-08-20 09:01:00,485.3399,485.3399,485.3399,485.3399,118.0
2020-08-20 08:59:00,484.37,484.37,484.37,484.37,786.0
2020-08-20 08:57:00,484.37,484.37,484.37,484.37,172.0
2020-08-20 08:56:00,484.0,484.0,484.0,484.0,276.0
2020-08-20 08:52:00,485.005,485.005,485.0,485.0,224.0
2020-08-20 08:44:00,485.4,485.4,485.4,485.4,498.0
2020-08-20 08:39:00,485.89,485.89,485.89,485.89,788.0
2020-08-20 08:35:00,485.1133,485.1133,485.1133,485.1133,186.0
2020-08-20 08:30:00,485.5,485.5,485.5,485.5,250.0
2020-08-20 08:25:00,485.0,485.0,485.0,485.0,254.0
2020-08-20 08:23:00,484.4014,484.4014,484.4,484.4,300.0
2020-08-20 08:21:00,484.89,484.89,484.89,484.89,150.0
2020-08-20 08:07:00,485.1104,485.1104,485.1104,485.1104,196.0
2020-08-20 08:01:00,485.76,486.51,485.76,486.51,1023.0
2020-08-20 07:47:00,485.11,485.11,485.11,485.11,200.0
2020-08-20 07:26:00,485.76,485.76,485.76,485.76,388.0
2020-08-20 07:22:00,486.0,486.0,486.0,486.0,369.0
2020-08-20 07:21:00,486.51,486.51,486.51,486.51,212.0
2020-08-20 07:07:00,485.77,485.77,485.77,485.77,100.0
2020-08-20 07:01:00,485.75,485.75,485.75,485.75,153.0
2020-08-19 19:58:00,484.25,484.25,484.25,484.25,101.0
2020-08-19 19:51:00,484.08,484.08,484.08,484.08,250.0
2020-08-19 19:50:00,484.06,484.06,484.06,484.06,227.0
2020-08-19 19:21:00,484.25,484.25,484.25,484.25,580.0
2020-08-19 19:09:00,483.95,483.95,483.95,483.95,571.0
2020-08-19 18:45:00,484.06,484.06,484.01,484.01,858.0
2020-08-19 18:44:00,484.35,484.35,484.35,484.35,153.0
2020-08-19 18:41:00,484.45,484.75,484.45,484.75,510.0
2020-08-19 18:07:00,484.5,484.5,484.5,484.5,345.0
